CME_num,LASCO_Start,Start_Date,Arrival_Date,PE_duration,Arrival_v,Transit_time,Transit_time_err,LASCO_Date,LASCO_v,LASCO_pa,LASCO_da,LASCO_halo,v_r,v_r_err,Theta_source,Phi_source,source_err,POS_source_angle,rel_wid,Mass,Bz,DST,v_r_stat,Accel.,Analyitic_w,Analyitic_gamma,filename
index,datetime,datetime,datetime,hours,km/s,hours,hours,datetime,km/s,deg,deg,,km/s,km/s,arcsec,arcsec,arcsec,deg,rad,g,nT,,km/s,m/s^2,km/s,km^-1,
10,1997-10-06 15:28:20.000,1997-10-06 23:13:39.440,1997-10-10 22:00:00,26.0,400,94.77222222222223,1.1473,1997-10-06 15:28:20,293.0,139.0,174.0,PH,749.38,136.73,-17.52726327367263,23.58865213478652,20.0,60.914473022040546,0.7853981633974483,2900000000000000.0,12,-130.0,342.411,25.014,0,0,CME_010_param_inv.csv
11,1997-10-23 12:42:37.000,1997-10-23 16:45:38.800,1997-10-27 00:00:00,31.0,500,79.23916666666666,0.41318,1997-10-23 11:26:50,503.0,-9999.0,360.0,FH,706.03,161.65,15.952924353782313,16.59613119344033,20.0,67.13663884354484,0.7853981633974483,8200000000000000.0,7,-60.0,558.0809999999999,6.1936,0,0,CME_011_param_inv.csv
12,1997-11-04 06:10:05.000,1997-11-04 08:46:51.440,1997-11-07 04:00:00,56.0,400,67.21888888888888,0.26893,1997-11-04 06:10:05,785.0,-9999.0,360.0,FH,1011.2,274.55,32.7143942124924,-13.676910542723105,20.0,54.83704354848862,1.1519173063162575,7500000000000000.0,11,-110.0,847.6949999999999,-45.0,244.25,2.1144e-08,CME_012_param_inv.csv
13,1997-12-06 10:55:05.000,1997-12-06 18:05:36.800,1997-12-10 18:00:00,30.0,350,95.90638888888888,0.87071,1997-12-06 10:27:05,397.0,317.0,223.0,HH,682.83,82.428,34.14089845507724,-3.907835108244589,20.0,55.66314058761385,0.7853981633974483,2e+16,12,-60.0,449.21899999999994,17.879,331.05,1.4461e-07,CME_013_param_inv.csv
14,1997-12-26 02:52:55.000,1997-12-26 14:06:57.400,1997-12-30 10:00:00,25.0,370,91.88388888888889,1.4953,1997-12-26 02:31:54,197.0,186.0,230.0,HH,269.24,38.142,-27.040973634212197,6.153383553881537,20.0,62.31927795015106,0.5585053606381855,1900000000000000.0,12,-77.0,243.819,0,0,0,CME_014_param_inv.csv
15,1998-01-03 00:57:18.000,1998-01-03 05:32:03.840,1998-01-07 01:00:00,45.0,400,91.46555555555555,0.55225,1998-01-02 23:28:20,438.0,-9999.0,360.0,FH,650.72,81.078,24.41517712057199,1.6850003749906255,20.0,65.53030196173285,0.7853981633974483,5500000000000000.0,16,-77.0,491.32599999999996,0,397.75,1.3375e-06,CME_015_param_inv.csv
16,1998-01-17 04:40:15.000,1998-01-17 08:52:53.160,1998-01-21 06:00:00,31.0,380,93.11833333333334,0.85226,1998-01-17 04:09:20,350.0,-9999.0,360.0,FH,608.05,119.62,8.198075298117548,-10.422731681707958,20.0,76.76754817728778,0.7853981633974483,1600000000000000.0,13,-11.0,400.95,0,371.25,3.2821e-07,CME_016_param_inv.csv
17,1998-01-25 15:51:45.000,1998-01-25 17:41:59.640,1998-01-29 20:00:00,29.0,380,98.3,0.38622,1998-01-25 15:26:34,693.0,-9999.0,360.0,FH,1319.9,251.46,4.281401539961502,0.28640833979150426,20.0,85.70904717477839,1.1519173063162575,1.1e+16,7,-55.0,753.2109999999999,0,0,0,CME_017_param_inv.csv
18,1998-02-14 06:55:05.000,1998-02-15 03:01:15.800,1998-02-17 10:00:00,11.0,400,54.97888888888889,2.145,1998-02-14 06:55:05,123.0,137.0,206.0,HH,154.19,17.325,-38.33982033932203,-6.32373220892637,20.0,51.22149837025598,0.5585053606381855,1900000000000000.0,12,-100.0,167.82099999999997,0,0,0,CME_018_param_inv.csv
19,1998-02-28 12:48:00.000,1998-02-28 23:11:13.200,1998-03-04 13:00:00,44.0,350,85.81277777777778,2.0258,1998-02-28 12:48:00,176.0,236.0,169.0,PH,285.12,59.522,7.763329744504259,-18.869034016099732,20.0,69.65024956804069,0.5585053606381855,490000000000000.0,12,-36.0,222.25199999999998,0,0,0,CME_019_param_inv.csv
20,1998-04-29 16:58:54.000,1998-04-29 18:46:12.960,1998-05-02 05:00:00,45.0,520,58.22972222222222,0.1254,1998-04-29 16:58:54,1374.0,-9999.0,360.0,FH,1679.8,118.55,-33.297713557161075,-10.855222619434516,20.0,55.172290411942384,1.1519173063162575,1e+16,11,-85.0,1452.598,0,466.2,8.4746e-08,CME_020_param_inv.csv
21,1998-05-02 14:06:12.000,1998-05-02 16:17:35.640,1998-05-04 10:00:00,85.0,550,41.70666666666666,0.20944,1998-05-02 14:06:12,938.0,-9999.0,360.0,FH,1358.3,129.76,-10.509409971800565,-10.981955760884784,20.0,74.84440149440042,1.1519173063162575,7700000000000000.0,10,-205.0,1004.8259999999999,0,0,0,CME_021_param_inv.csv
22,1998-06-21 06:15:22.000,1998-06-22 00:12:50.800,1998-06-24 16:00:00,31.0,450,63.78583333333333,1.9422,1998-06-21 05:35:10,148.0,289.0,78.0,N,171.01,19.302,311.24315566104167,-903.915758272947,20.0,-41.125988879247174,0.6806784082777885,-9999.0,12,-25.0,193.49599999999998,0,0,0,CME_022_param_inv.csv
23,1998-10-15 10:04:36.000,1998-10-15 14:34:26.280,1998-10-19 04:00:00,27.0,390,85.42583333333333,1.497,1998-10-15 10:04:36,262.0,-9999.0,360.0,FH,431.31,134.1,11.999400029998501,-1.9999000049997504,20.0,77.83749409655222,0.5585053606381855,-9999.0,18,-112.0,310.57399999999996,0,0,0,CME_023_param_inv.csv
24,1998-11-04 07:54:06.000,1998-11-04 12:15:05.280,1998-11-07 22:00:00,27.0,450,81.74833333333333,0.57452,1998-11-04 07:54:06,523.0,-9999.0,360.0,FH,721.42,98.307,-1.3427466417786074,5.123735542148595,20.0,84.70369698892446,0.7853981633974483,-9999.0,15,-81.0,578.621,0,448.29,1.973e-06,CME_024_param_inv.csv
25,1998-11-05 20:44:02.000,1998-11-05 22:57:36.320,1998-11-09 01:00:00,48.0,450,74.03972222222222,0.18544,1998-11-05 20:44:02,1118.0,-9999.0,360.0,FH,1320.6,110.54,-18.63240687655206,11.875582240295996,20.0,68.0187533080302,1.1519173063162575,-9999.0,12,-149.0,1189.686,0,431.53,1.9887e-07,CME_025_param_inv.csv
26,1998-11-09 18:17:55.000,1998-11-09 21:59:40.600,1998-11-13 02:00:00,34.0,390,76.00527777777778,1.7059,1998-11-09 18:17:55,325.0,330.0,190.0,HH,739.16,361.64,8.681754853064337,-5.011189360133,20.0,79.98539546744027,0.7853981633974483,-9999.0,17,-131.0,375.275,0,264.16,2.1347e-08,CME_026_param_inv.csv
27,1999-04-13 03:30:05.000,1999-04-13 10:02:37.280,1999-04-16 18:00:00,25.0,410,79.95611111111111,1.075,1999-04-13 03:30:05,291.0,228.0,261.0,HH,466.56,81.411,-2.1549314581220274,-22.62485878773161,20.0,67.27811557126566,0.5585053606381855,1400000000000000.0,18,-91.0,340.35699999999997,0,0,0,CME_027_param_inv.csv
28,1999-04-18 08:30:05.000,1999-04-18 14:15:42.080,1999-04-21 04:00:00,34.0,490,61.738055555555555,0.69155,1999-04-18 08:30:05,475.0,59.0,112.0,PH,563.21,70.719,36.797409419686005,19.96855438152062,20.0,48.81758260438564,0.7853981633974483,1200000000000000.0,8,-29.0,529.3249999999999,0,0,0,CME_028_param_inv.csv
29,1999-06-24 13:31:24.000,1999-06-24 16:15:21.360,1999-06-27 22:00:00,30.0,670,77.74388888888889,0.29549,1999-06-24 13:31:24,975.0,-9999.0,360.0,FH,1434.8,355.89,-29.315743404276592,3.3203919934667754,20.0,60.513421644532016,1.1519173063162575,2300000000000000.0,7,-41.0,1042.8249999999998,55.024,0,0,CME_029_param_inv.csv
30,1999-07-03 19:54:05.000,1999-07-04 00:47:21.440,1999-07-06 21:00:00,5.0,460,68.21055555555556,0.57148,1999-07-03 19:54:05,536.0,301.0,139.0,PH,826.23,107.84,5.667386993550107,-22.83227412876452,20.0,66.51143946872722,0.7853981633974483,8400000000000000.0,10,-4.0,591.972,19.577,379.6,4.1531e-08,CME_030_param_inv.csv
31,1999-07-23 21:30:09.000,1999-07-24 03:32:04.200,1999-07-27 17:00:00,43.0,390,85.46527777777777,0.98946,1999-07-23 21:30:09,329.0,75.0,123.0,PH,512.63,134.25,19.61726421226313,21.478511358144033,20.0,61.228015575422106,0.7853981633974483,7500000000000000.0,6,-38.0,379.383,0.50588,270.15,1.3714e-08,CME_031_param_inv.csv
32,1999-07-28 04:30:05.000,1999-07-28 10:37:32.120,1999-07-30 20:00:00,12.0,620,57.37416666666667,0.46152,1999-07-28 04:30:05,361.0,112.0,189.0,HH,504.45,39.813,-18.703381165470866,22.52983725406865,20.0,61.033359002629375,0.7853981633974483,-9999.0,9,-52.0,412.24699999999996,0,0,0,CME_032_param_inv.csv
33,1999-07-28 09:30:06.000,1999-07-28 12:43:57.240,1999-07-31 19:00:00,35.0,480,78.26722222222222,0.54992,1999-07-28 09:06:05,462.0,-9999.0,360.0,FH,802.39,137.77,0.14840699186016343,6.099740005199896,20.0,83.89846171073742,0.7853981633974483,190000000000000.0,5,-39.0,515.9739999999999,0,0,0,CME_033_param_inv.csv
34,1999-08-09 03:26:05.000,1999-08-09 09:00:49.760,1999-08-12 03:00:00,45.0,380,65.98611111111111,0.6791,1999-08-09 03:26:05,395.0,197.0,212.0,HH,565.03,71.867,26.285498110037803,3.4389208215835705,20.0,63.5063811956472,0.7853981633974483,1000000000000000.0,6,-13.0,447.16499999999996,0,0,0,CME_034_param_inv.csv
35,1999-09-20 06:30:06.000,1999-09-20 09:02:08.760,1999-09-22 19:00:00,32.0,530,57.96416666666667,0.67496,1999-09-20 06:06:05,604.0,-9999.0,360.0,FH,973.92,272.38,9.995428191436172,11.698350632987342,20.0,74.65838961316683,1.1519173063162575,890000000000000.0,11,-173.0,661.808,0,413.42,3.2556e-08,CME_035_param_inv.csv
36,2000-01-18 17:54:05.000,2000-01-18 20:20:01.640,2000-01-22 17:00:00,9.0,380,92.6661111111111,0.24173,2000-01-18 17:54:05,739.0,-9999.0,360.0,FH,1132.6,113.84,13.6291779602755,-3.996424957188036,20.0,75.8076280107179,1.1519173063162575,6900000000000000.0,16,-97.0,800.453,0,374.03,4.9825e-07,CME_036_param_inv.csv
37,2000-02-08 09:30:05.000,2000-02-08 11:56:59.600,2000-02-11 16:00:00,4.0,420,76.05,0.22087,2000-02-08 09:30:05,1079.0,-9999.0,360.0,FH,1364.0,306.06,38.85350829273869,-3.881644119369724,20.0,50.983618331058736,1.1519173063162575,-9999.0,7,-25.0,1149.6329999999998,24.337,393.68,1.3502e-07,CME_037_param_inv.csv
38,2000-02-10 03:18:05.000,2000-02-10 05:07:24.920,2000-02-12 12:00:00,12.0,540,54.87638888888889,0.20249,2000-02-10 02:30:05,944.0,-9999.0,360.0,FH,1097.2,122.95,-3.2679096607355396,30.039474626663555,20.0,59.79979865639957,1.1519173063162575,64000000000000.0,13,-133.0,1010.9879999999999,0,400.99,2.9143e-08,CME_038_param_inv.csv
39,2000-02-12 04:31:20.000,2000-02-12 06:54:10.160,2000-02-14 12:00:00,44.0,520,53.096944444444446,0.23592,2000-02-12 04:31:20,1107.0,-9999.0,360.0,FH,1286.9,254.35,23.657925551861208,0.6153293667658306,20.0,66.33453349585105,1.1519173063162575,1600000000000000.0,5,-67.0,1178.389,-7.7876,351.78,2.5505e-08,CME_039_param_inv.csv
40,2000-02-17 19:31:23.000,2000-02-18 01:18:04.880,2000-02-21 05:00:00,31.0,380,75.6986111111111,0.11546,2000-02-17 19:31:23,543.0,186.0,64.0,N,566.07,11.598,-950.7629319720693,-99.92921088387698,20.0,6.261596630547458,0.5585053606381855,-9999.0,15,-26.0,599.161,0,0,0,CME_040_param_inv.csv
41,2000-04-04 16:43:01.000,2000-04-04 17:02:59.728,2000-04-07 06:00:00,24.0,560,60.95,0.30158,2000-04-04 16:32:37,1188.0,-9999.0,360.0,FH,1648.4,552.38,9.84595920867326,0.7955890367580278,20.0,80.12226586137672,1.1519173063162575,4500000000000000.0,6,-288.0,1261.5759999999998,0,543.9,2.7898e-07,CME_041_param_inv.csv
42,2000-04-15 10:35:41.000,2000-04-15 13:27:24.560,2000-04-18 20:00:00,18.0,460,78.54305555555555,0.32308,2000-04-15 10:35:41,716.0,93.0,176.0,PH,1095.2,129.83,-11.75795438223289,20.499381460168543,20.0,66.49451211242535,1.1519173063162575,430000000000000.0,10,-14.0,776.832,0,456.24,9.3406e-07,CME_042_param_inv.csv
43,2000-04-29 04:30:05.000,2000-04-29 09:23:25.760,2000-05-02 20:00:00,62.0,500,82.60944444444445,0.45684,2000-04-29 04:30:05,551.0,143.0,109.0,PH,704.87,104.24,-42.26821061973451,11.569907752306195,20.0,46.46618867130976,0.7853981633974483,1.1e+16,6,-37.0,607.377,5.3424,0,0,CME_043_param_inv.csv
44,2000-05-10 20:06:07.000,2000-05-10 23:13:02.080,2000-05-13 17:00:00,25.0,500,65.7825,0.29819,2000-05-10 20:06:07,641.0,83.0,205.0,HH,921.9,92.158,-16.218865311346892,16.2039578604214,20.0,67.22870676276236,1.1519173063162575,4400000000000000.0,8,-2.0,699.8069999999999,0,459.1,9.4128e-08,CME_044_param_inv.csv
45,2000-05-13 13:42:05.000,2000-05-13 16:37:51.920,2000-05-16 23:00:00,8.0,550,78.36888888888889,0.19786,2000-05-13 12:26:05,666.0,166.0,182.0,HH,818.34,223.73,-43.43145195068642,-0.907971600405709,20.0,46.56094928348772,0.7853981633974483,4100000000000000.0,9,-92.0,725.482,12.292,0,0,CME_045_param_inv.csv
46,2000-05-20 14:50:05.000,2000-05-20 22:02:32.720,2000-05-23 09:00:00,12.0,570,58.957499999999996,0.71147,2000-05-20 14:50:05,348.0,232.0,139.0,PH,432.98,44.445,-40.04240558648045,-19.281269624345857,20.0,46.271794653114554,0.5585053606381855,300000000000000.0,8,-10.0,398.89599999999996,0,0,0,CME_046_param_inv.csv
47,2000-05-21 07:26:53.000,2000-05-21 10:53:46.160,2000-05-24 12:00:00,70.0,530,73.1036111111111,0.31911,2000-05-21 07:26:53,629.0,304.0,138.0,PH,911.35,88.106,18.917562827079703,-20.97248141687315,20.0,62.045087401809454,1.1519173063162575,9000000000000000.0,5,-147.0,687.483,0,0,0,CME_047_param_inv.csv
48,2000-05-31 08:06:05.000,2000-05-31 13:36:11.120,2000-06-04 22:00:00,48.0,470,104.39666666666666,0.52935,2000-05-31 08:06:05,391.0,46.0,126.0,PH,569.63,57.102,26.05894001177765,6.423572926967479,20.0,63.21486954030626,0.7853981633974483,1900000000000000.0,9,-35.0,443.05699999999996,0,0,0,CME_048_param_inv.csv
49,2000-06-06 15:54:05.000,2000-06-06 17:42:43.160,2000-06-08 12:00:00,53.0,610,42.28777777777778,0.19634,2000-06-06 15:54:05,1119.0,-9999.0,360.0,FH,1553.8,171.47,-26.863425331493374,10.047600847983043,20.0,61.4504779476446,1.1519173063162575,1.8e+16,11,-90.0,1190.713,0,273.39,1.4384e-08,CME_049_param_inv.csv
50,2000-07-07 10:26:05.000,2000-07-07 14:40:49.160,2000-07-11 02:00:00,12.0,440,83.31944444444444,0.6551,2000-07-07 10:26:05,453.0,-9999.0,360.0,FH,731.72,119.42,2.7304578220311173,-9.400101284267368,20.0,80.21479267585339,0.7853981633974483,1800000000000000.0,13,0.0,506.73099999999994,0,437.88,1.5623e-06,CME_050_param_inv.csv
51,2000-07-11 13:27:23.000,2000-07-11 15:13:52.280,2000-07-13 13:00:00,26.0,610,45.76861111111111,0.18301,2000-07-11 13:27:23,1078.0,-9999.0,360.0,FH,1405.1,147.12,1.0189955900629983,1.4071491835830916,20.0,88.26269977859329,1.1519173063162575,-9999.0,7,-43.0,1148.606,0,398.31,2.2642e-08,CME_051_param_inv.csv
52,2000-07-12 20:30:05.000,2000-07-12 23:45:29.840,2000-07-14 17:00:00,21.0,780,41.24166666666667,0.24381,2000-07-12 20:30:05,820.0,281.0,101.0,PH,952.82,155.16,31.489717454709105,-18.840693988433532,20.0,53.80817299833322,1.1519173063162575,7400000000000000.0,9,-57.0,883.6399999999999,-4.9159,0,0,CME_052_param_inv.csv
53,2000-07-14 10:54:07.000,2000-07-14 12:13:07.840,2000-07-15 19:00:00,37.0,740,30.781111111111112,0.21774,2000-07-14 10:54:07,1674.0,-9999.0,360.0,FH,2031.7,349.5,26.701726540918244,-0.44969770377870355,20.0,63.294765094615705,1.1519173063162575,1.4e+16,20,-301.0,1760.6979999999999,0,0,0,CME_053_param_inv.csv
54,2000-07-17 08:54:05.000,2000-07-17 11:58:46.160,2000-07-20 01:00:00,31.0,530,61.02027777777778,0.42056,2000-07-17 08:54:05,788.0,95.0,116.0,PH,1431.9,278.64,-3.3402459877006145,18.570643467826606,20.0,71.14177923038717,1.1519173063162575,7500000000000000.0,8,-93.0,850.776,72.618,496.44,1.3078e-07,CME_054_param_inv.csv
55,2000-07-23 05:30:05.000,2000-07-23 09:24:25.880,2000-07-27 02:00:00,24.0,360,88.59277777777777,0.29004,2000-07-23 05:30:05,631.0,161.0,181.0,HH,792.55,61.592,32.258843278918036,8.696180195495113,20.0,56.71216230353328,0.7853981633974483,3100000000000000.0,6,-42.0,689.5369999999999,0,326.32,8.6363e-08,CME_055_param_inv.csv
56,2000-07-25 03:30:05.000,2000-07-25 08:06:24.440,2000-07-28 12:00:00,49.0,440,75.89305555555555,0.37478,2000-07-25 03:30:05,528.0,-9999.0,360.0,FH,674.53,57.667,39.44456780720323,-0.21560298995016697,20.0,50.554939125834004,0.7853981633974483,1600000000000000.0,9,-71.0,583.756,0,396.26,7.0531e-08,CME_056_param_inv.csv
57,2000-08-06 22:30:05.000,2000-08-07 04:45:06.080,2000-08-10 19:00:00,26.0,430,86.24805555555555,1.5541,2000-08-06 22:30:05,211.0,332.0,122.0,PH,451.24,116.42,5.931153791758629,-6.562595038606866,20.0,81.16302332880218,0.5585053606381855,-9999.0,12,-106.0,258.197,0,428.2,1.6467e-06,CME_057_param_inv.csv
58,2000-08-09 16:30:05.000,2000-08-09 19:48:12.560,2000-08-12 05:00:00,41.0,580,57.19638888888889,0.63541,2000-08-09 16:30:05,702.0,-9999.0,360.0,FH,928.29,185.07,29.112037779622206,-2.447315926840731,57.687642982640234,60.794255227560036,1.1519173063162575,7000000000000000.0,18,-235.0,762.454,0,522.83,7.2978e-08,CME_058_param_inv.csv
59,2000-08-29 18:30:06.000,2000-08-29 20:44:58.800,2000-09-02 22:00:00,15.0,420,97.25027777777778,0.30345,2000-08-29 18:30:06,769.0,347.0,122.0,PH,1200.7,161.68,-15.22158928410716,0.3654980150198501,20.0,74.77412690885909,1.1519173063162575,1900000000000000.0,8,-20.0,831.2629999999999,0,0,0,CME_059_param_inv.csv
60,2000-09-05 05:54:05.000,2000-09-05 08:46:29.600,2000-09-08 12:00:00,46.0,450,75.225,0.408,2000-09-05 05:54:05,473.0,3.0,138.0,PH,945.28,122.07,14.462993970060301,-0.20830401695983125,20.0,75.53553804678275,1.1519173063162575,3200000000000000.0,5,-48.0,527.271,0,430.62,1.8337e-07,CME_060_param_inv.csv
61,2000-10-02 20:26:05.000,2000-10-02 23:00:14.480,2000-10-05 13:00:00,46.0,450,61.99583333333334,0.39345,2000-10-02 20:26:05,569.0,-9999.0,360.0,FH,1102.0,165.06,7.844989360106401,5.506926240737594,20.0,80.42502067865114,1.1519173063162575,3900000000000000.0,6,-182.0,625.8629999999999,0,314.27,2.7322e-08,CME_061_param_inv.csv
62,2000-10-09 23:50:05.000,2000-10-10 01:59:33.440,2000-10-13 16:00:00,25.0,400,86.00722222222223,0.22957,2000-10-09 23:50:05,798.0,295.0,175.0,PH,1239.3,129.83,-14.993212584842693,-11.563088386395172,20.0,71.14722027818,1.1519173063162575,1.4e+16,12,-107.0,861.0459999999999,0,390.22,3.2631e-07,CME_062_param_inv.csv
63,2000-10-25 09:06:05.000,2000-10-25 12:49:10.160,2000-10-28 21:00:00,25.0,380,80.18027777777777,0.3538,2000-10-25 08:26:05,770.0,-9999.0,360.0,FH,1196.1,151.64,-11.624644833879154,21.737320566985826,20.0,65.48307494431693,1.1519173063162575,1.7e+16,14,-127.0,832.29,49.504,341.87,8.6806e-08,CME_063_param_inv.csv
64,2000-12-18 11:50:05.000,2000-12-18 15:45:38.960,2000-12-23 00:00:00,12.0,320,104.23916666666666,0.5779,2000-12-18 11:50:05,510.0,-9999.0,360.0,FH,775.49,118.92,-0.5725451350694986,5.455968629019585,20.0,84.51416276379564,0.7853981633974483,-9999.0,12,-62.0,565.27,0,304.98,1.7178e-07,CME_064_param_inv.csv
65,2001-01-20 21:30:08.000,2001-01-20 22:49:35.840,2001-01-24 09:00:00,46.0,400,82.17333333333333,0.2105,2001-01-20 21:30:08,1507.0,-9999.0,360.0,FH,2205.0,344.38,19.385947767247032,7.728858746013935,inf,69.1853311659511,1.1519173063162575,1.8e+16,4,-61.0,1589.1889999999999,0,386.0,2.3962e-07,CME_065_param_inv.csv
66,2001-02-28 14:50:05.000,2001-02-28 22:34:17.120,2001-03-04 04:00:00,22.0,440,77.42833333333333,0.51129,2001-02-28 14:50:05,313.0,252.0,232.0,HH,418.03,28.975,29.26705689918716,-10.858788160169143,20.0,58.95145421075148,0.5585053606381855,2400000000000000.0,8,-73.0,362.95099999999996,0,0,0,CME_066_param_inv.csv
67,2001-03-16 03:50:05.000,2001-03-16 09:43:13.520,2001-03-19 17:00:00,55.0,360,79.27944444444445,1.5277,2001-03-16 03:50:05,271.0,7.0,281.0,FH,542.06,146.41,9.542733662663377,1.031880911190888,21.104090653284196,80.40215232495044,0.7853981633974483,1000000000000000.0,15,-149.0,319.81699999999995,6.0587,0,0,CME_067_param_inv.csv
68,2001-03-25 17:06:05.000,2001-03-25 20:06:25.520,2001-03-28 17:00:00,49.0,480,68.89277777777778,0.32117,2001-03-25 17:06:05,677.0,-9999.0,360.0,FH,910.79,258.25,-24.248023760455897,15.351811610925727,inf,61.55113120947568,1.1519173063162575,3300000000000000.0,3,-51.0,736.779,-21.683,445.64,1.0867e-07,CME_068_param_inv.csv
69,2001-03-28 13:27:24.000,2001-03-28 16:00:40.200,2001-03-31 05:00:00,17.0,640,60.98861111111111,0.44547,2001-03-28 12:50:05,519.0,-9999.0,360.0,FH,959.86,161.9,7.448366287579206,-1.698663648512287,20.0,82.36145662601272,1.1519173063162575,3000000000000000.0,33,-387.0,574.5129999999999,0,0,0,CME_069_param_inv.csv
70,2001-03-29 10:50:07.000,2001-03-29 13:03:40.240,2001-04-01 04:00:00,59.0,600,62.938611111111115,0.20166,2001-03-29 10:26:05,942.0,-9999.0,360.0,FH,1156.1,107.84,18.717169039398822,19.12840596612797,20.0,63.485413549266845,1.1519173063162575,2800000000000000.0,5,0,1008.934,0,0,0,CME_070_param_inv.csv
71,2001-04-02 22:06:07.000,2001-04-02 22:50:56.596,2001-04-04 18:00:00,18.0,650,43.15083333333334,0.10462,2001-04-02 22:06:07,2505.0,261.0,244.0,HH,3217.6,436.65,3.1239095174206883,-14.869123448971262,20.0,74.81350827934249,1.1519173063162575,9200000000000000.0,9,-50.0,2614.1349999999998,0,565.78,7.4011e-08,CME_071_param_inv.csv
72,2001-04-06 19:54:01.000,2001-04-06 21:17:29.320,2001-04-08 14:00:00,14.0,740,40.70833333333333,0.14607,2001-04-06 19:30:02,1270.0,-9999.0,360.0,FH,1723.5,175.32,-4.797149109454341,-9.208619770891435,20.0,79.62634414928247,1.1519173063162575,8400000000000000.0,13,-59.0,1345.79,0,621.27,5.128e-08,CME_072_param_inv.csv
